,HL60_0_hrs,HL60_0.5_hrs,HL60_4_hrs,HL60_24_hrs,U937_0_hrs,U937_0.5_hrs,U937_4_hrs,U937_24_hrs,NB4_0_hrs,NB4_5.5_hrs,NB4_24_hrs,NB4_48_hrs,NB4_72_hrs,Jurkat_0_hrs,Jurkat_0.5_hrs,Jurkat_4_hrs,Jurkat_24_hrs
HL60_0_hrs,1.0,0.9597623677715944,0.96622360165757859,0.88895924574580698,0.75100583111425279,0.7548756042565542,0.75376118500544165,0.68933864191942507,0.81827380766333757,0.82017603568738484,0.79378246293067001,0.77613777220534652,0.73183986894524122,0.83295614378001026,0.83382853242597732,0.82822762741854672,0.81698068074304386
HL60_0.5_hrs,0.9597623677715944,1.0,0.95971992495425906,0.89100008225180638,0.73244997756656594,0.74802603723333172,0.74457954485595312,0.6741243515159584,0.80587626871479479,0.80772581878139327,0.7848476830059149,0.77512289008829738,0.72483780164491274,0.81905708914942377,0.81178191050974879,0.81049960262155574,0.794898809665606
HL60_4_hrs,0.96622360165757859,0.95971992495425906,1.0,0.91502729619574719,0.75207758082388343,0.76452115365470419,0.75382344864072048,0.69516192363597562,0.81663938338941655,0.81932784949475901,0.79296757596264011,0.77518084814373334,0.73015118225115039,0.83544906987164502,0.84147452503563769,0.83399253207395263,0.82250938801649298
HL60_24_hrs,0.88895924574580698,0.89100008225180638,0.91502729619574719,1.0,0.68444382741606336,0.70286674421110051,0.68124626625214868,0.68617557126430428,0.77171250126800028,0.76409889513918261,0.74283409293274627,0.74862127268489231,0.69882047300985084,0.78655962187482842,0.79294470130653727,0.78740287435390643,0.78301255746298482
U937_0_hrs,0.75100583111425279,0.73244997756656594,0.75207758082388343,0.68444382741606336,1.0,0.94984185916636021,0.93962046512646558,0.88658376539565187,0.77805213727842115,0.7948920115086805,0.78510211640701577,0.74636970432993188,0.72328557505441682,0.85277583808340718,0.85315362709264875,0.83998090186756191,0.8380215012122747
U937_0.5_hrs,0.7548756042565542,0.74802603723333172,0.76452115365470419,0.70286674421110051,0.94984185916636021,1.0,0.96471235404552103,0.85753261175897366,0.78070638326445507,0.77450404670133755,0.76992061250356647,0.7331811791295102,0.70587725606880936,0.84748262575860656,0.85244556025588902,0.84323257191819212,0.83385869144341074
U937_4_hrs,0.75376118500544165,0.74457954485595312,0.75382344864072048,0.68124626625214868,0.93962046512646558,0.96471235404552103,1.0,0.83943913242223445,0.77631997561019017,0.77084055237280558,0.75611940657621002,0.7203160022845998,0.69760719338129695,0.83741037592267031,0.84212747527488874,0.83327283364753835,0.82570585638480709
U937_24_hrs,0.68933864191942507,0.6741243515159584,0.69516192363597562,0.68617557126430428,0.88658376539565187,0.85753261175897366,0.83943913242223445,1.0,0.7281011130422913,0.75441096007165176,0.77552875991148706,0.77119704291346913,0.77260694316072442,0.78183774169138498,0.78501853703807167,0.77842275542342543,0.79085079409171233
NB4_0_hrs,0.81827380766333757,0.80587626871479479,0.81663938338941655,0.77171250126800028,0.77805213727842115,0.78070638326445507,0.77631997561019017,0.7281011130422913,1.0,0.95591221443136953,0.91648512968981455,0.89955429555694788,0.85209076886746649,0.84663835944098931,0.86439323213696562,0.84601084842041008,0.83624214716346079
NB4_5.5_hrs,0.82017603568738484,0.80772581878139327,0.81932784949475901,0.76409889513918261,0.7948920115086805,0.77450404670133755,0.77084055237280558,0.75441096007165176,0.95591221443136953,1.0,0.9520913188378326,0.92388398589565668,0.88477010640351084,0.85663676223055063,0.86427400009343203,0.85262560712316116,0.84848122038413998
NB4_24_hrs,0.79378246293067001,0.7848476830059149,0.79296757596264011,0.74283409293274627,0.78510211640701577,0.76992061250356647,0.75611940657621002,0.77552875991148706,0.91648512968981455,0.9520913188378326,1.0,0.96614868184035396,0.94094012483061951,0.8133759112031268,0.82834795548099316,0.81569964178036714,0.816705401600477
NB4_48_hrs,0.77613777220534652,0.77512289008829738,0.77518084814373334,0.74862127268489231,0.74636970432993188,0.7331811791295102,0.7203160022845998,0.77119704291346913,0.89955429555694788,0.92388398589565668,0.96614868184035396,1.0,0.95864358928100635,0.80160404783111394,0.80628207781722405,0.79739416742806557,0.80076641393115366
NB4_72_hrs,0.73183986894524122,0.72483780164491274,0.73015118225115039,0.69882047300985084,0.72328557505441682,0.70587725606880936,0.69760719338129695,0.77260694316072442,0.85209076886746649,0.88477010640351084,0.94094012483061951,0.95864358928100635,1.0,0.75164067730789674,0.75717987386820074,0.753688774897463,0.76559715506840442
Jurkat_0_hrs,0.83295614378001026,0.81905708914942377,0.83544906987164502,0.78655962187482842,0.85277583808340718,0.84748262575860656,0.83741037592267031,0.78183774169138498,0.84663835944098931,0.85663676223055063,0.8133759112031268,0.80160404783111394,0.75164067730789674,1.0,0.9753036163733978,0.97673978010534668,0.96054407130181896
Jurkat_0.5_hrs,0.83382853242597732,0.81178191050974879,0.84147452503563769,0.79294470130653727,0.85315362709264875,0.85244556025588902,0.84212747527488874,0.78501853703807167,0.86439323213696562,0.86427400009343203,0.82834795548099316,0.80628207781722405,0.75717987386820074,0.9753036163733978,1.0,0.97888402761571736,0.96131419785329864
Jurkat_4_hrs,0.82822762741854672,0.81049960262155574,0.83399253207395263,0.78740287435390643,0.83998090186756191,0.84323257191819212,0.83327283364753835,0.77842275542342543,0.84601084842041008,0.85262560712316116,0.81569964178036714,0.79739416742806557,0.753688774897463,0.97673978010534668,0.97888402761571736,1.0,0.9707336582293189
Jurkat_24_hrs,0.81698068074304386,0.794898809665606,0.82250938801649298,0.78301255746298482,0.8380215012122747,0.83385869144341074,0.82570585638480709,0.79085079409171233,0.83624214716346079,0.84848122038413998,0.816705401600477,0.80076641393115366,0.76559715506840442,0.96054407130181896,0.96131419785329864,0.9707336582293189,1.0
